DATE,Actual GDP Growth,ADL(1) Forecast,ADL(2) Forecast,AR(2) Forecast,VAR(2) Forecast,Combined Forecast,ADL(1)-ToT Forecast,ADL(1)-DeltaRate Forecast
2020-12-31 23:59:59.999999999,-0.34687171116217774,-1.3754959896237446,-0.028268171450849457,-2.1506734236962437,-1.4689298842746483,-1.6650330991982123,-1.6769218777891741,-1.4830818008260747
2021-03-31 23:59:59.999999999,2.0127597311777823,0.5709276573251264,1.2082471468616212,0.7455502310763421,0.950745448812685,0.7557411124047179,0.30599233439836054,0.9205911597302799
2021-06-30 23:59:59.999999999,10.57253357331016,2.0813351249227776,2.396982161715768,2.558571724733465,2.156571204043045,2.265492684566429,1.7135458926428404,2.720203843740707
2021-09-30 23:59:59.999999999,4.581905745776704,9.205830094620303,10.009437067987909,10.388031245930996,8.602805629934362,9.398888990161888,7.295851323744838,9.683647002468664
2021-12-31 23:59:59.999999999,5.386245666971989,3.013108242255633,0.6832315632126734,3.1706767181991395,0.43885156884590426,2.2075455097668923,2.9534201622805365,3.9610496704212776
2022-03-31 23:59:59.999999999,3.6288245912848405,4.043557565420744,3.962614993188304,4.444845922272037,3.65897627943083,4.049126589041204,3.5426225135127054,4.775017729763559
2022-06-30 23:59:59.999999999,3.526116931914025,2.520735716026784,2.365017284981921,3.2884349482817945,1.6859082757523005,2.4983596466869593,2.172766042980569,3.30807620070496
2022-09-30 23:59:59.999999999,5.753965433923658,2.052397215093387,2.0316076897524558,3.289593174695777,2.6971423924027187,2.6797109273972937,2.1802717840160337,2.9126533328155446
2022-12-31 23:59:59.999999999,2.3145788986619786,4.016607055902942,4.023740411518337,4.722043658368132,5.232514745482619,4.657055153251231,4.000605680973032,4.772498158653782
2023-03-31 23:59:59.999999999,2.371251878513192,1.3371511756966197,1.32164051113824,2.527830189336595,1.9017736674930559,1.9222516775087568,1.6457699492177391,1.7246262840275826
2023-06-30 23:59:59.999999999,2.0458321619697184,1.627448982819472,1.6190943599594692,2.614074715224709,2.7072012061471535,2.3162416347304444,1.9374099731592942,1.859994225655003
2023-09-30 23:59:59.999999999,2.053587478223462,1.7031703635196433,1.6990946358939414,2.410467224998859,2.6014959548493763,2.238377847789293,1.9382564943413603,1.8562610664440515
